
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		SodaCan_Spite, 			*,		2, 		1
		WaterBottle,			*,		5,		2
		Canteen,				*,		8,		4
		Vodka,					*,		12,		8
		ExpansionMilkBottle,    *,		5,		3
		
	<Category> Medical Supplies
		//Rag,					1,		1,		-1
		BandageDressing,		2,		3,		1
		BloodTestKit,			*,		5,		2
		//InjectionVial,		*,		5, 		2
		Thermometer,			*,		5,		2
		DisinfectantSpray,		*,		8,		5
		//Syringe,				*,		8, 		5
		Heatpack,				*,		10,		5
		StartKitIV,				*,		10,		6
		SalineBag,				*,		15,		8
		BloodBagEmpty,			*,		18,		10
		FirstAidKit,			*,		20,		10
		//Defibrillator,		*,		35, 	20
		
	<Category> Medications
		CharcoalTablets,		*,		2,		1
		DisinfectantAlcohol,	*,		4,		2
		VitaminBottle,			*,		6,		4
		TetracyclineAntibiotics,*,		8,		5
		PainkillerTablets,		*,		10,		6
		Epinephrine,			*,		20,		10
		Morphine,				*,		25,		15	
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1

	<Category> SQUAD MSF-C Items and food
		MSFCBeerZhigulevskoe,	*,		15,		5
		MSFCBankaJackSmithWhiskey,	*,		15,		5
		MSFCBankaBeerAmsterdam,	*,		15,		5
		MSFCBankaBeerPivasProvodnik,	*,		15,		5
		MSFCBankaBaikal,	*,		15,		5
		MSFCBankaBeerHeineken,	*,		15,		5
		MSFCBankaBeerFranziskanerWeissbier,	*,		15,		5
		MSFCBankaSTALKEREnergy,	*,		15,		5
		MSFCBankaCJ,	*,		15,		5
		MSFCBankaSPRUNK,	*,		15,		5
		MSFCBankaSPRUNKextreme,	*,		15,		5
		MSFC_Case,	*,		15,		5
		MSFC_Weapon_Tool_Box,	*,		150,		50
		MSFC_FirstAidKit,	*,		15,		5
		MSFCPohuinBottle,	*,		15,		5
		MSFC_Case_Multicam,	*,		150,		50
		MSFC_Case_Multicam_Tropic,	*,		150,		50
		MSFC_Case_Multicam_Black,	*,		150,		50
		MSFC_Case_Multicam_Snow,	*,		150,		50
		MSFC_Case_ATACSFG,	*,		150,		50
		MSFC_Case_ATACSAU,	*,		150,		50
		MSFC_Case_SURPAT,	*,		150,		50
		MSFC_Case_SURPAT_Desert,	*,		150,		50
		MSFCBeerZhigulevskoeBarnoe,	*,		15,		5
		MSFCBeerZhigulevskoeSoviet,	*,		15,		5
		MSFCBeerBaltika9,	*,		15,		5
		MSFCTushonkaCowCan,	*,		15,		5
		MSFCCornTsarReceptCan,	*,		15,		5
		MSFCCucumbersLoradoCan,	*,		15,		5
		MSFCMilkSgushenkaCan,	*,		15,		5
		MSFCPeasDyadyaVanyaCan,	*,		15,		5
		MSFCCanteenATACSAU,	*,		50,		25
		MSFCCanteenATACSFG,	*,		50,		25
		MSFCCanteenSURPATDesert,	*,		50,		25
		MSFCCanteenSURPAT,	*,		50,		25
		MSFCCanteenMulticamSnow,	*,		50,		25
		MSFCCanteenMulticamBlack,	*,		50,		25
		MSFCCanteenMulticamTropic,	*,		50,		25
		MSFCCanteenMulticam,	*,		50,		25
		MSFCCanteenDesert,	*,		50,		25
		MSFCCanteenGreen,	*,		50,		25
		MSFCCanteenBlack,	*,		50,		25


<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,			*,		3,		1
		Wrench,					*,		3,		1
		SewingKit,				*,		4, 		1
		Pliers,					*,		4, 		1
		LeatherSewingKit,		*,		5, 		2
		Whetstone,				*,		5,		2
		Hammer,					*,		7,		3
		Hacksaw,				*,		7,		3
		HandSaw,				*,		7,		3
		WeaponCleaningKit,		*,		8, 		3
		KitchenKnife,			*,		8,		4
		SteakKnife,				*,		9,		4
		HuntingKnife,			*,		9,		4
		CanOpener,				*,		10,		4
		Compass,				*,		10,		4
		OrienteeringCompass,	*,		10,		4
		Hatchet,				*,		10,		4
		CombatKnife,			*,		10,		5
		Machete,				*,		12,		6	
		ChernarusMap,			*,		15,		5
		Lockpick,				*,		20,		10
		Binoculars,				*,		30,		15		
		FishingRod,				*,		60,		25
		
		
	<Category> Tools (big)
		LugWrench,				*,		4,		1
		Crowbar,				*,		5,		3
		Shovel,					*,		6,		3
		Pickaxe,				*,		10,		4
		SledgeHammer,			*,		12,		6
		WoodAxe,				*,		20,		8
		FirefighterAxe,			*,		30,		12
		
	<Category> Electronics
		Battery9V,				*,		8,		3
		PersonalRadio,			*,		10,		5
		Megaphone,				*,		30,		15
		ElectronicRepairKit,	*,		35,		17
		CableReel,				*,		40,		20
		BatteryCharger,			*,		40,		20
		BaseRadio,				*,		50,		30
		Rangefinder,			*,		60,		35
		NVGoggles,				*,		400,	220
		ExpansionGPS,			*,		400,	200
	
	<Category> Fire & Lights
		Chemlight_Blue,			*,		2,		1
		Chemlight_Green,		*,		2,		1
		Chemlight_Red,			*,		2,		1
		Chemlight_White,		*,		2,		1
		Chemlight_Yellow,		*,		2,		1
		Roadflare,				*,		4,		2
		Matchbox,				*,		6,		3
		Flashlight,				*,		15,		5
		PortableGasLamp,		*,		25,		10
		PortableGasStove,		*,		30,		15
		Headtorch_Black,		*,		40,		20
		Headtorch_Grey,			*,		40,		20
		Spotlight,				*,		600,	200
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,	*,		5,		2
		Pot,					M,		25,		10
		Tripod,					*,		35,		15
		BearTrap,				*,		50,		30
	
	<Category> Hardware Supplies
		Paper,					*,		1,		1
		Pen_Blue,				*,		2,		1
		Rope,					*,		4,		1
		TannedLeather,			*,		4,		1
		AntiPestsSpray,			*,		8,		4
		MetalWire,				*,		15,		6
		EpoxyPutty,				*,		15,		6
		DuctTape,				*,		20,		8
		XmasLights,				*,		25,		10
		HandcuffKeys,			*,		35,		12
		Handcuffs,				*,		50,		15
		Netting,				1,		50,		10
		BurlapSack,				*,		50,		10
		WoodenPlank,			10,		50,		15
		MetalPlate,				*,		60,		18
		SmallProtectorCase,		*,		70,		30
		AmmoBox,				*,		80,		35
		SmallGasCanister,		*,		80,		35
		MediumGasCanister,		*,		100,	40
		LargeGasCanister,		*,		200,	70
		CanisterGasoline,		*,		300,	80
		NailBox,				*,		300,	120
		BarbedWire,				*,		450,	200
		Camonet,				*,		600,	250
		HescoBox,				*,		650,	250
		CombinationLock,		*,		700,	300
		CombinationLock4,		*,		900,	400
		BarrelHoles_Blue,		*,		800,	300
		BarrelHoles_Green,		*,		800,	300
		BarrelHoles_Red,		*,		800,	300
		BarrelHoles_Yellow,		*,		800,	300
		Barrel_Blue,			M,		1500,	350
		Barrel_Green,			M,		1500,	350
		Barrel_Red,				M,		1500,	350
		Barrel_Yellow,			M,		1500,	350
		SeaChest,				*,		2000,	400
		PowerGenerator,			*,		3000,	1000
		MediumTent,				*,		3000,	500		
		CarTent,				*,		5000,	700
		LargeTent,				*,		7000,	1200
	
	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		4, 		1
		PepperSeedsPack,		*,		4, 		1
		ZucchiniSeedsPack,		*,		6, 		2
		PumpkinSeedsPack,		*,		10, 	3
		GardenLime,				*,		20,		7
		
	<Category> Valuable Things
		Bear_Beige,				*,		700,	700
		Bear_Dark,				*,		800,	800
		Bear_Pink,				*,		900,	900
		Bear_White,				*,		1000,	1000
		ExpansionGoldBar,		*,		600,	500
		ExpansionSilverBar,		*,		400,	350

	<Category> Base Building
		ExpansionLumber1,				*,		150, 20
		ExpansionLumber3,				*,		200, 20
		ExpansionFloorKit,				*,		150, 20
		ExpansionRampKit,				*,		150, 20
		ExpansionStairKit,				*,		150, 20
		ExpansionWallKit,				*,		150, 20
		ExpansionCamoBoxKit,			*,		250, 20
		ExpansionBarrierGateKit,		*,		150, 20
		ExpansionCamoTentKit,			*,		150, 20
		ExpansionSafeLarge,				*,		1000, 500
		ExpansionSafeMini,				*,		400, 200
		ExpansionSafeMedium,			*,		450, 225
		ExpansionGunrack,				*,		1000, 700
		ExpansionHelipadKit,			*,		500, 250
		ExpansionBarbedWireKit,			*,		200, 100
		ExpansionHescoKit,				*,		500, 250
		ExpansionCodeLock,				*,		700, 100
		ExpansionSignDanger,			*,		50, 10
		ExpansionSignDanger2,			*,		50, 10
		ExpansionSignDanger3,			*,		50, 20
		ExpansionSignRoadBarrier,		*,		50, 20
		ExpansionStove,					*,		4000, 200
		Msp_DeskClock,					*,		400,		50
		Msp_WoodenTable_Kit,			*,		1000,		200
		Msp_WoodenChair,				*,		5000,		200

	<Category> Flags 
		ExpansionFlagKitAustralia,		*,		100, 60
		ExpansionFlagKitCanada,			*,		100, 60
		ExpansionFlagKitChernarus,		*,		100, 60
		ExpansionFlagKitFrance,			*,		100, 60
		ExpansionFlagKitGermany,		*,		100, 60
		ExpansionFlagKitLatvia,			*,		100, 60
		ExpansionFlagKitLuxembourg,		*,		100, 60
		ExpansionFlagKitMexico,			*,		100, 60
		ExpansionFlagKitNetherlands,	*,		100, 60
		ExpansionFlagKitNewZealand,		*,		100, 60
		ExpansionFlagKitNewNorway,		*,		100, 60
		ExpansionFlagKitPoland,			*,		100, 60
		ExpansionFlagKitRussia,			*,		100, 60
		ExpansionFlagKitUK,				*,		100, 60
		ExpansionFlagKitUSA,			*,		100, 60
		ExpansionFlagKitExpansion,		*,		100, 60
		ExpansionFlagKitWhite,			*,		100, 60
		ExpansionFlagBase,				*,		100, 60
		ExpansionTerritoryFlag,			*,		100, 60

	<Category> Storage
		Msp_LargeAmmoBox,										*,		400,		100
		Msp_AmericanAppleCrate,		                    		*,		600,		60
		Msp_AppleCrate,		                    				*,		600,		60
		Msp_PlasticCrate,		                    			*,		600,		60
		Msp_AmmoCrate,		                    				*,		600,		60
		Msp_TackleBox,		                    				*,		600,		60
		Msp_TackleBox_Black,		                    		*,		600,		60
		Msp_CoolerBox,		                    				*,		600,		60
		Msp_CoolerBox_Black,		                    		*,		600,		60
		Msp_SmallFridge,		                    			*,		4600,		400
		Msp_JackDanielsFridge,		                    		*,		5600,		400
		Msp_GrenadeBox,		                    				*,		1600,		400
		Msp_TreasureChest,		                    			*,		1600,		400
		Msp_MedievalChest,		                    			*,		5000,		1000
		Msp_MilitaryCrate_Brown,		                    	*,		5000,		1000
		Msp_MilitaryCrate_Green,		                    	*,		5000,		1000
		Msp_MilitaryCrate_Grey,		                    		*,		5000,		1000
		Msp_MilitaryCrate_Olive,		                    	*,		5000,		1000
		Msp_MilitaryCrate_Tan,		                    		*,		5000,		1000
		Msp_CoffinBox,		                    				*,		5000,		1000
		
	<Category> Barrels
		Msp_Barrel_Donation,		                    		*,		1600,		400
		Msp_Barrel_Donation_Ammo,		                    	*,		1600,		400
		Msp_Barrel_Donation_Guns,		                    	*,		1600,		400
		Msp_Barrel_Donation_Food,		                    	*,		1600,		400
		Msp_Barrel_Donation_Medical,		                    *,		1600,		400
		Msp_Barrel_Donation_BloodONegative,		                *,		1600,		400
		Msp_WaterBarrel_Plastic,		                    	*,		1600,		400
		Msp_WaterBarrel_Plastic_Yellow,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_Green,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_Red,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_Black,		                    *,		1600,		400
		Msp_WaterBarrel_Plastic_White,		                	*,		1600,		400
		Msp_WaterBarrel_Valve_Faucet,		                	*,		100,		100
		Msp_WaterBarrel,		                				*,		1600,		400
		Msp_WaterBarrel_Darkwood,		                		*,		1600,		400
		Msp_WaterBarrel_Stand,		                			*,		100,		100
		Msp_WaterBarrel_Stand_Darkwood,		                	*,		100,		100
		Msp_WaterBarrel_Valve,		                			*,		100,		100
		Msp_WaterBarrel_Valve_Darkwood,		                	*,		100,		100

	<Category> Kits and base items
		Msp_FireplaceRailing,									*,		600,	200
		Msp_EmptySquarePlanterBox,								*,		600,	200
		Msp_EmptyPlanterBox,									*,		600,	200
		Msp_BeachChair_Kit,										*,		1000,	100	
		Msp_KiddiePool_Kit,										*,		1000,	100	
		Msp_KiddiePool_Pink_Kit,								*,		1000,	100	
		Msp_KiddiePool_Yellow_Kit,								*,		1000,	100	
		Msp_KiddiePool_Large_Kit,								*,		1000,	100	
		Msp_KiddiePool_Large_Pink_Kit,							*,		1000,	100	
		Msp_KiddiePool_Large_Yellow_Kit,						*,		1000,	100	
		Msp_VolleyballNet_Kit,									*,		1000,	100	
		Msp_FishingRodsRack_Kit,								*,		2000,	300	
		Msp_GunCabinet_Kit,										*,		2000,	300	
		Msp_GunRack_Kit,										*,		3000,	400	
		Msp_DoubleGunRack_Kit,									*,		4000,	500	
		Msp_MilitaryLocker_Kit,									*,		5000,	600	
		Msp_Locker_Kit,											*,		5000,	600	
		Msp_StorageBox_Kit,										*,		5000,	600	
		Msp_ToolsBench_Blue_Kit,								*,		5000,	600	
		Msp_ToolsBench_Grey_Kit,								*,		5000,	600	
		Msp_ToolsBench_Red_Kit,									*,		5000,	600	
		Msp_BlueFridge_Kit,										*,		15000,	1000	
		Msp_RetroBlueFridge_Kit,								*,		10000,	1000	
		Msp_RustyFridge_Kit,									*,		10000,	1000	
		Msp_Blue50sFridge_Kit,									*,		6000,	1000	
		Msp_50sFridge_Kit,										*,		7000,	1000	
		Msp_Freezer_Kit,										*,		5000,	600	
		Msp_Gazebo_Kit,											*,		5000,	600	
		Msp_StoneFireplace_Kit,									*,		5000,	600
		Msp_Greenhouse_Kit,										*,		5000,	600	
		Msp_GreenhouseWood_Kit,									*,		5000,	600	
		Msp_Bookcase_Kit,										*,		5000,	600	
		Msp_RifleSafe_Kit,										*,		5000,	600	
		Msp_RifleSafe_Grey_Kit,									*,		5000,	600	
		Msp_RifleSafe_Green_Kit,								*,		5000,	600	
		Msp_RifleSafe_Purple_Kit,								*,		5000,	600	
		Msp_RifleSafe_Tan_Kit,									*,		5000,	600	
		Msp_MedicalBox_Kit,										*,		5000,	600	
		Msp_Gunwall_Kit,										*,		5000,	600

	<Category> Misc
		Msp_Bunny,												*,		600,	200
		Msp_SantaJacket,										*,		600,	200
		Msp_SantaPants,											*,		600,	200
		Msp_MedicBag_Green,										*,		600,	200
		Msp_MedicBag_Red,										*,		600,	200
		Msp_MedicBag_Blue,										*,		600,	200
		Msp_MedicBag_Black,										*,		600,	200
		Msp_BeachUmbrella,										*,		600,	200
		Msp_BeachBall,											*,		600,	200
		Msp_Volleyball,											*,		600,	200
		Msp_Floatie_Wheel,										*,		600,	200
		Msp_Floatie_Unicorn,									*,		600,	200
		Msp_Floatie_Unicorn_Rainbow,							*,		600,	200
		Msp_Floatie_Unicorn_BlueRainbow,						*,		600,	200
		Msp_Floatie_Unicorn_GreenRainbow,						*,		600,	200
		Msp_Floatie_Unicorn_PurpleRainbow,						*,		600,	200
		Msp_Floatie_Flamingo,									*,		600,	200
		Msp_Floatie_Flamingo,									*,		600,	200
		Msp_Water_Gun,											*,		3500,	350
		Msp_Water_Gun_Mag,										*,		500,	50
		Msp_WitchHat,											*,		-1,		500
		MSP_WitchCauldron,										M,		3000,	500
		Msp_MedievalGibbetWithMount_Kit,						*,		5000,	600	
		Msp_MedievalGibbet_Kit,									*,		5000,	600	
		Msp_SleepingBag_Green,			*,		2000,		200
		Msp_SleepingBag_Blue,			*,		2000,		200
		Msp_SleepingBag_LimeGreen,		*,		2000,		200
		Msp_SleepingBag_Orange,			*,		2000,		200
		Msp_SleepingBag_Purple,			*,		2000,		200
		Msp_SleepingBag_Red,			*,		2000,		200
		Msp_Mattress_Blue,				*,		2000,		200
		Msp_Mattress_Green,				*,		2000,		200
		Msp_Mattress_Pink,				*,		2000,		200
		Msp_Mattress_Yellow,			*,		2000,		200

		
<Trader> Weapon Trader
	<Category> Melee	
		BrassKnuckles_Shiny,	W,		15,		6
		StunBaton,				W,		15,		9
		Pipe,					W,		25,		10
		CattleProd,				W,		25,		15
		BaseballBat,			W,		35,		17
		NailedBaseballBat,		W,		45,		20
		Msp_VorpalKnife,									W,      1000,   	100
		Msp_GoodNightBat,									W,      5000,    	250
		Msp_BeanBasher,										W,      5000,    	250
		Msp_PipeAxe,										W,      5000,    	250
		Msp_PlainBat,										W,      5000,    	250
		Msp_PlainBat_Blue,									W,      5000,    	250
		Msp_PlainBat_Black,									W,      5000,    	250
		Msp_BlunderBat,										W,      5000,    	250
		Msp_BassAxe,										W,      5000,    	250
		MSFC_Huntsman_Knife,	*,		100,		65	
	    MSFC_DownrangeTomahawk,	*,		100,		65
		
	<Category> Sidearms
		MakarovIJ70,			W,		100,	50
		CZ75,					W,		135,	70
		FNX45,					W,		175,	90
		Glock19,				W,		300,	130
		MKII,					W,		320,	160
		Colt1911,				W,		340,	180
		Engraved1911,			W,		340,	180
		Expansion_M9,			W, 		350,	300
		MSFC_P250,				W,		400,	200
		Deagle,					W,		300,	150
		
	<Category> Rifles
		Izh18,					W,		350,	175
		B95,					W,		1700,	1100
		Mosin9130,				W,		400,	200
		CZ527,					W,		500,	250
		Winchester70,			W,		500,	250
		SKS,					W,		600,	300
		Expansion_M14,			W,		800,	300
		MSFC_BlackEagleII,	W,		4000,		2000
		Expansion_M1A,			W,		900,	450
		MSFC_CZ527_WHITE,	W,		3000,		1500
		MSFC_CZ527_ATACS_AU,	W,		3000,		1500
		MSFC_CZ527_ATACS_FG,	W,		3000,		1500
		MSFC_CZ527_BLUE,	W,		3000,		1500
		MSFC_CZ527_EMR,	W,		3000,		1500
		MSFC_CZ527_Flecktarn,	W,		3000,		1500
		MSFC_CZ527_HEX,	W,		3000,		1500
		MSFC_CZ527_MARPAT_WD,	W,		3000,		1500
		MSFC_CZ527_MULTICAM,	W,		3000,		1500
		MSFC_CZ527_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_CZ527_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_CZ527_SNAKE,	W,		3000,		1500
		MSFC_CZ527_SNAKE_GREEN,	W,		3000,		1500
		MSFC_CZ527_SURPAT,	W,		3000,		1500
		MSFC_CZ527_VIPER_WESTERN,	W,		3000,		1500
		MSFC_CZ527_Woodland,	W,		3000,		1500
		MSFC_CZ527_SURPAT_TAN,	W,		3000,		1500
		MSFC_CZ527_ORANGE,	W,		3000,		1500
		MSFC_CZ527_RED,	W,		3000,		1500
		MSFC_CZ527_DARK,	W,		3000,		1500
		MSFC_CZ527_MATRIX,	W,		3000,		1500
		MSFC_CZ527_REDBLACKWHITE,	W,		3000,		1500
		MSFC_CZ527_Honeycomb,	W,		3000,		1500
		MSFC_CZ527_STAR,	W,		3000,		1500
		MSFC_SKS_WHITE,	W,		3000,		1500
		MSFC_SKS_ATACS_AU,	W,		3000,		1500
		MSFC_SKS_ATACS_FG,	W,		3000,		1500
		MSFC_SKS_BLUE,	W,		3000,		1500
		MSFC_SKS_EMR,	W,		3000,		1500
		MSFC_SKS_Flecktarn,	W,		3000,		1500
		MSFC_SKS_HEX,	W,		3000,		1500
		MSFC_SKS_MARPAT_WD,	W,		3000,		1500
		MSFC_SKS_MULTICAM,	W,		3000,		1500
		MSFC_SKS_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_SKS_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_SKS_SNAKE,	W,		3000,		1500
		MSFC_SKS_SNAKE_GREEN,	W,		3000,		1500
		MSFC_SKS_SURPAT,	W,		3000,		1500
		MSFC_SKS_VIPER_WESTERN,	W,		3000,		1500
		MSFC_SKS_Woodland,	W,		3000,		1500
		MSFC_SKS_SURPAT_TAN,	W,		3000,		1500
		MSFC_SKS_ORANGE,	W,		3000,		1500
		MSFC_SKS_RED,	W,		3000,		1500
		MSFC_SKS_DARK,	W,		3000,		1500
		MSFC_SKS_MATRIX,	W,		3000,		1500
		MSFC_SKS_REDBLACKWHITE,	W,		3000,		1500
		MSFC_SKS_Honeycomb,	W,		3000,		1500
		MSFC_SKS_STAR,	W,		3000,		1500
		MSFC_Mosin9130_WHITE,	W,		3000,		1500
		MSFC_Mosin9130_ATACS_AU,	W,		3000,		1500
		MSFC_Mosin9130_ATACS_FG,	W,		3000,		1500
		MSFC_Mosin9130_BLUE,	W,		3000,		1500
		MSFC_Mosin9130_EMR,	W,		3000,		1500
		MSFC_Mosin9130_Flecktarn,	W,		3000,		1500
		MSFC_Mosin9130_HEX,	W,		3000,		1500
		MSFC_Mosin9130_MARPAT_WD,	W,		3000,		1500
		MSFC_Mosin9130_MULTICAM,	W,		3000,		1500
		MSFC_Mosin9130_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_Mosin9130_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_Mosin9130_SNAKE,	W,		3000,		1500
		MSFC_Mosin9130_SNAKE_GREEN,	W,		3000,		1500
		MSFC_Mosin9130_SURPAT,	W,		3000,		1500
		MSFC_Mosin9130_VIPER_WESTERN,	W,		3000,		1500
		MSFC_Mosin9130_Woodland,	W,		3000,		1500
		MSFC_Mosin9130_SURPAT_TAN,	W,		3000,		1500
		MSFC_Mosin9130_ORANGE,	W,		3000,		1500
		MSFC_Mosin9130_RED,	W,		3000,		1500
		MSFC_Mosin9130_DARK,	W,		3000,		1500
		MSFC_Mosin9130_MATRIX,	W,		3000,		1500
		MSFC_Mosin9130_REDBLACKWHITE,	W,		3000,		1500
		MSFC_Mosin9130_Honeycomb,	W,		3000,		1500
		MSFC_Mosin9130_STAR,	W,		3000,		1500
		MSFC_SawedoffMosin9130_WHITE,	W,		3000,		1500
		MSFC_SawedoffMosin9130_ATACS_AU,	W,		3000,		1500
		MSFC_SawedoffMosin9130_ATACS_FG,	W,		3000,		1500
		MSFC_SawedoffMosin9130_BLUE,	W,		3000,		1500
		MSFC_SawedoffMosin9130_EMR,	W,		3000,		1500
		MSFC_SawedoffMosin9130_Flecktarn,	W,		3000,		1500
		MSFC_SawedoffMosin9130_HEX,	W,		3000,		1500
		MSFC_SawedoffMosin9130_MARPAT_WD,	W,		3000,		1500
		MSFC_SawedoffMosin9130_MULTICAM,	W,		3000,		1500
		MSFC_SawedoffMosin9130_MULTICAM_BLACK,	W,		3000,		1500
		MSFC_SawedoffMosin9130_MULTICAM_TROPIC,	W,		3000,		1500
		MSFC_SawedoffMosin9130_SNAKE,	W,		3000,		1500
		MSFC_SawedoffMosin9130_SNAKE_GREEN,	W,		3000,		1500
		MSFC_SawedoffMosin9130_SURPAT,	W,		3000,		1500
		MSFC_SawedoffMosin9130_VIPER_WESTERN,	W,		3000,		1500
		MSFC_SawedoffMosin9130_Woodland,	W,		3000,		1500
		MSFC_SawedoffMosin9130_SURPAT_TAN,	W,		3000,		1500
		MSFC_SawedoffMosin9130_ORANGE,	W,		3000,		1500
		MSFC_SawedoffMosin9130_RED,	W,		3000,		1500
		MSFC_SawedoffMosin9130_DARK,	W,		3000,		1500
		MSFC_SawedoffMosin9130_MATRIX,	W,		3000,		1500
		MSFC_SawedoffMosin9130_REDBLACKWHITE,	W,		3000,		1500
		MSFC_SawedoffMosin9130_Honeycomb,	W,		3000,		1500
		MSFC_SawedoffMosin9130_STAR,	W,		3000,		1500
